日期,产品,比例,用户数,操盘数,保证金总额,借款总额
20150526,月月配,1:3,2,2,66748.00,201000.00
20150526,月月配,1:4,36,38,2073477.00,5228000.00
20150526,免费体验,1:2000,12,12,12.00,24000.00
20150527,天天配,1:1,1,1,29951.00,28000.00
20150527,天天配,1:4,13,13,360763.00,1444000.00
20150527,月月配,1:3,1,1,5000.00,12000.00
20150527,月月配,1:4,25,29,1536846.00,3248000.00
20150528,天天配,1:2,1,1,1994.00,4000.00
20150528,天天配,1:4,3,3,41680.00,152000.00
20150528,月月配,1:1,1,2,4171.99,4000.00
20150528,月月配,1:2,1,1,1920.00,4000.00
20150528,月月配,1:3,3,3,19700.00,33000.00
20150528,月月配,1:4,19,21,4014510.73,11372000.00
20150528,超低佣金,1:4,2,2,153242.00,476000.00
20150529,天天配,1:4,9,10,169946.00,680000.00
20150529,月月配,1:4,1,1,4867.09,8000.00
20150529,超低佣金,1:4,2,2,7000.00,28000.00
20150530,天天配,1:4,2,2,22000.00,88000.00
20150531,天天配,1:3,1,1,28406.00,66000.00
20150531,天天配,1:4,1,1,19040.00,80000.00
20150601,天天配,1:1,5,7,70011.11,70000.00
20150601,天天配,1:2,1,1,2000.00,4000.00
20150601,天天配,1:3,1,1,2000.00,6000.00
20150601,天天配,1:4,17,17,224638.00,828000.00
20150602,天天配,1:1,3,4,12013.00,12000.00
20150602,天天配,1:2,2,2,13760.00,24000.00
20150602,天天配,1:3,3,3,61272.50,174000.00
20150602,天天配,1:4,24,27,974909.07,2772000.00
20150603,天天配,1:2,3,3,85160.00,164000.00
20150603,天天配,1:3,1,1,3000.00,9000.00
20150603,天天配,1:4,20,22,206852.81,676000.00
20150604,天天配,1:1,3,3,54001.00,54000.00
20150604,天天配,1:3,6,6,351253.50,738000.00
20150604,天天配,1:4,16,16,276078.00,1116000.00
20150605,天天配,1:1,3,3,6015.00,6000.00
20150605,天天配,1:2,4,4,15805.00,16000.00
20150605,天天配,1:4,19,21,1376498.98,4536000.00
20150606,天天配,1:1,1,1,4000.00,4000.00
20150606,天天配,1:4,1,1,86800.00,400000.00
20150607,天天配,1:1,1,1,2000.00,2000.00
20150607,天天配,1:3,1,1,2986.50,9000.00
20150608,天天配,1:1,1,1,1817.00,2000.00
20150608,天天配,1:2,1,1,6000.00,12000.00
20150608,天天配,1:3,1,1,10000.00,30000.00
20150608,天天配,1:4,14,14,428793.00,1488000.00
20150609,天天配,1:1,2,2,70759.00,55000.00
20150609,天天配,1:4,10,10,128444.00,420000.00
20150609,月月配,1:2,1,1,70000.00,140000.00
20150609,月月配,1:3,1,1,24000.00,60000.00
20150609,月月配,1:4,12,13,3931176.79,9196000.00
20150610,天天配,1:4,4,4,144760.00,508000.00
20150610,月月配,1:4,6,8,573149.56,1804000.00
20150611,天天配,1:1,2,2,4001.00,4000.00
20150611,天天配,1:2,1,1,2000.00,4000.00
20150611,天天配,1:3,1,1,14722.50,45000.00
20150611,天天配,1:4,9,9,305880.00,1120000.00
20150611,月月配,1:4,2,2,139900.00,468000.00
20150612,天天配,1:4,4,6,31050.00,92000.00
20150612,月月配,1:3,1,1,12450.00,27000.00
20150612,月月配,1:4,5,5,387186.56,796000.00
20150613,天天配,1:1,1,1,1994.00,2000.00
20150614,天天配,1:4,1,1,3000.00,12000.00
20150615,天天配,1:1,1,2,4000.00,4000.00
20150615,天天配,1:3,1,1,20000.00,60000.00
20150615,天天配,1:4,10,10,220776.00,796000.00
20150616,天天配,1:1,2,2,4000.00,4000.00
20150616,天天配,1:3,2,2,8550.00,24000.00
20150616,天天配,1:4,8,8,77164.35,244000.00
20150617,天天配,1:1,1,1,5000.00,5000.00
20150617,天天配,1:2,1,1,80054.00,150000.00
20150617,天天配,1:3,2,2,3991.00,12000.00
20150617,天天配,1:4,13,14,379121.00,888000.00
20150618,天天配,1:1,2,3,7001.00,7000.00
20150618,天天配,1:2,2,2,3952.00,8000.00
20150618,天天配,1:4,9,9,83486.00,316000.00
20150619,天天配,1:2,1,1,5985.00,10000.00
20150619,天天配,1:3,3,3,15780.00,45000.00
20150619,天天配,1:4,7,7,53150.00,180000.00
20150620,天天配,1:1,1,1,2000.00,2000.00
20150622,天天配,1:4,1,1,12000.00,48000.00
20150623,天天配,1:1,2,2,47000.00,47000.00
20150623,天天配,1:2,1,1,2000.00,4000.00
20150623,天天配,1:3,1,1,5000.00,15000.00
20150623,天天配,1:4,9,9,110750.00,428000.00
20150624,天天配,1:1,3,3,53850.00,54000.00
20150624,天天配,1:3,3,3,51865.00,117000.00
20150624,天天配,1:4,12,12,255616.00,1000000.00
20150625,天天配,1:1,3,3,6001.00,6000.00
20150625,天天配,1:2,2,2,12456.00,22000.00
20150625,天天配,1:4,5,5,34608.00,124000.00
20150625,月月配,1:2,1,1,45000.00,90000.00
20150625,月月配,1:4,2,2,7620.00,28000.00
20150626,天天配,1:4,8,10,237598.00,572000.00
20150626,月月配,1:2,1,1,10120.00,22000.00
20150626,月月配,1:3,1,1,5600.00,12000.00
20150626,月月配,1:4,3,3,63716.00,116000.00
20150628,天天配,1:4,3,3,30400.00,120000.00
20150629,天天配,1:3,2,2,7300.00,21000.00
20150629,天天配,1:4,10,10,148718.00,544000.00
20150630,天天配,1:3,1,1,4302.50,15000.00
20150630,天天配,1:4,13,14,351168.00,1332000.00
20150630,月月配,1:1,1,1,1960.00,2000.00
20150630,月月配,1:4,1,1,5000.00,20000.00
20150701,天天配,1:3,2,2,220075.00,285000.00
20150701,天天配,1:4,11,11,99860.00,324000.00
20150701,月月配,1:4,1,1,11100.00,40000.00
20150702,天天配,1:4,6,7,214516.00,600000.00
20150702,月月配,1:3,1,1,22000.00,45000.00
20150702,月月配,1:4,4,5,30740.00,60000.00
20150703,天天配,1:3,2,2,5000.00,15000.00
20150703,天天配,1:4,7,8,91174.00,304000.00
20150705,天天配,1:3,1,1,17000.00,45000.00
20150706,天天配,1:3,13,16,4005797.38,12657000.00
20150708,月月配,1:3,1,1,2430.00,6000.00
20150710,天天配,1:1,1,1,2000.00,2000.00
20150710,天天配,1:2,1,1,3000.00,6000.00
20150710,天天配,1:3,6,6,43550.00,129000.00
20150710,月月配,1:2,1,1,5000.00,10000.00
20150710,月月配,1:3,2,3,93842.00,231000.00
20150711,月月配,1:3,1,1,2000.00,6000.00
20150713,天天配,1:1,1,4,8000.00,8000.00
20150713,天天配,1:2,1,1,4000.00,8000.00
20150713,天天配,1:3,8,8,122204.50,342000.00
20150713,月月配,1:2,2,2,12220.00,22000.00
20150713,月月配,1:3,5,5,98720.00,279000.00
20150714,天天配,1:3,3,3,50201.00,156000.00
20150714,月月配,1:3,3,3,19346.00,54000.00
20150715,天天配,1:1,1,1,2000.00,2000.00
20150715,天天配,1:3,7,7,575856.96,1767000.00
20150715,月月配,1:3,7,7,290332.00,672000.00
20150716,天天配,1:1,2,3,6050.00,6000.00
20150716,天天配,1:3,5,5,87829.00,261000.00
20150716,月月配,1:2,1,1,10000.00,20000.00
20150716,月月配,1:3,3,3,21024.00,54000.00
20150716,月月配,1:4,1,1,138808.00,168000.00
20150717,天天配,1:1,1,1,2000.00,2000.00
20150717,天天配,1:2,1,1,4000.00,8000.00
20150717,天天配,1:3,11,11,136532.00,396000.00
20150717,月月配,1:2,1,1,47535.00,56000.00
20150717,月月配,1:3,5,5,554812.00,915000.00
20150720,天天配,1:3,1,1,3000.00,9000.00
20150721,天天配,1:3,8,12,134039.00,366000.00
20150721,月月配,1:1,1,1,2000.00,2000.00
20150721,月月配,1:2,1,1,50000.00,100000.00
20150721,月月配,1:3,7,7,134282.00,336000.00
20150722,天天配,1:2,1,1,2000.00,4000.00
20150722,天天配,1:3,7,7,122134.50,333000.00
20150722,月月配,1:3,4,4,145031.00,369000.00
20150723,天天配,1:1,3,3,24000.00,24000.00
20150723,天天配,1:3,11,11,295961.00,870000.00
20150723,月月配,1:1,1,1,2000.00,2000.00
20150723,月月配,1:2,1,1,20000.00,40000.00
20150723,月月配,1:3,7,7,45138.00,114000.00
20150724,天天配,1:3,6,7,141732.00,363000.00
20150724,天天配,1:4,5,10,129586.65,436000.00
20150724,月月配,1:1,1,1,3040.00,2000.00
20150724,月月配,1:2,1,1,19000.00,38000.00
20150724,月月配,1:3,2,2,7786.00,21000.00
20150724,月月配,1:4,4,4,553366.68,1544000.00
20150726,天天配,1:4,2,2,12400.00,40000.00
20150727,天天配,1:3,3,3,37000.00,66000.00
20150727,天天配,1:4,8,8,48972.00,196000.00
20150727,月月配,1:3,1,1,52290.00,90000.00
20150727,月月配,1:4,3,3,37280.00,112000.00
20150728,天天配,1:1,1,1,2000.00,2000.00
20150728,月月配,1:4,1,2,51500.00,120000.00
20150729,天天配,1:3,2,2,305086.00,912000.00
20150729,月月配,1:3,1,1,19000.00,57000.00
20150730,天天配,1:3,1,1,5842.50,15000.00
20150730,月月配,1:3,1,1,3000.00,9000.00
20150730,月月配,1:4,1,1,40000.00,120000.00
20150731,天天配,1:3,3,3,327423.47,522000.00
20150731,月月配,1:3,1,1,10000.00,30000.00
20150803,天天配,1:3,2,2,54033.00,99000.00
20150803,月月配,1:3,1,1,140000.00,420000.00
20150804,月月配,1:1,1,1,2000.00,2000.00
20150804,月月配,1:3,4,4,393700.00,1143000.00
20150805,月月配,1:3,1,1,5000.00,15000.00
20150805,月月配,1:4,1,1,510000.00,1800000.00
20150806,月月配,1:3,2,2,51600.00,138000.00
20150806,月月配,1:4,1,1,20000.00,80000.00
20150807,天天配,1:1,1,1,2000.00,2000.00
20150807,月月配,1:3,1,1,7500.00,15000.00
20150810,天天配,1:3,1,1,13000.00,39000.00
20150810,月月配,1:3,2,2,85800.00,255000.00
20150810,月月配,1:4,1,1,107145.00,320000.00
20150811,天天配,1:1,1,1,2000.00,2000.00
20150811,天天配,1:4,2,2,12732.00,48000.00
20150811,月月配,1:3,1,1,28380.00,90000.00
20150811,月月配,1:4,7,7,100678.30,328000.00
20150812,天天配,1:4,3,3,20000.00,80000.00
20150812,月月配,1:4,1,1,10000.00,40000.00
20150813,天天配,1:1,1,2,4000.00,4000.00
20150813,天天配,1:4,1,1,8750.00,28000.00
20150813,月月配,1:4,3,3,10500.00,36000.00
20150814,天天配,1:4,4,4,60428.00,176000.00
20150814,月月配,1:1,1,1,26000.00,26000.00
20150814,月月配,1:3,1,1,3000.00,9000.00
20150814,月月配,1:4,1,1,90000.00,360000.00
20150816,天天配,1:3,1,1,7964.00,24000.00
20150817,天天配,1:2,1,2,4000.00,8000.00
20150817,天天配,1:3,1,2,6000.00,18000.00
20150817,天天配,1:4,7,9,235180.00,896000.00
20150817,月月配,1:4,4,4,40876.11,152000.00
20150818,天天配,1:4,2,2,7976.00,32000.00
20150818,月月配,1:1,1,1,2000.00,2000.00
20150818,月月配,1:4,4,4,49934.24,140000.00
20150819,天天配,1:2,1,1,2000.00,4000.00
20150819,天天配,1:4,6,6,43080.00,168000.00
20150819,月月配,1:4,1,1,15024.00,52000.00
20150820,天天配,1:3,2,2,89370.00,270000.00
20150820,月月配,1:3,1,1,130280.00,348000.00
20150821,天天配,1:3,1,1,47872.50,105000.00
20150821,月月配,1:3,1,1,30000.00,90000.00
20150824,天天配,1:1,1,1,2004.00,2000.00
20150824,天天配,1:3,3,6,21000.00,63000.00
20150824,月月配,1:3,1,1,30000.00,90000.00
20150826,天天配,1:3,3,3,52716.50,159000.00
20150826,月月配,1:2,2,2,24000.00,48000.00
20150827,天天配,1:3,3,4,33986.50,102000.00
20150828,天天配,1:3,2,2,59000.00,177000.00
20150831,天天配,1:3,5,7,108000.00,318000.00
20150831,月月配,1:3,1,1,19000.00,57000.00
20150901,月月配,1:3,1,1,4000.00,12000.00
